"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_minus_Ons","Succ_Take_minus_Ons","Succ_percent_Take_minus_Ons","Tkld_Take_minus_Ons","Tkld_percent_Take_minus_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Matches","url"
471,"Albert Sambi Lokonga","/en/players/1b4f1169/Albert-Sambi-Lokonga","be BEL","MF","Luton Town",23,1999,14.5,899,54,223,513,170,11,899,22,11,50,7,31.8,528,3026,1706,29,19,2,12,11,597,13,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
472,"Davinson Sánchez","/en/players/da7b447d/Davinson-Sanchez","co COL","DF","Tottenham",27,1996,0.9,83,8,24,45,14,1,83,0,0,NA,0,NA,68,238,80,0,2,0,1,0,66,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
473,"Robert Sánchez","/en/players/6a713852/Robert-Sanchez","es ESP","GK","Chelsea",25,1997,15.9,649,561,644,5,0,0,649,0,0,NA,0,NA,392,1890,1130,0,0,0,1,0,360,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
474,"Jadon Sancho","/en/players/dbf053da/Jadon-Sancho","eng ENG","FW,MF","Manchester Utd",23,2000,0.9,51,4,12,18,26,6,51,7,3,42.9,3,42.9,38,298,192,10,5,5,0,2,34,5,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
475,"Ibrahim Sangaré","/en/players/bced0375/Ibrahim-Sangare","ci CIV","MF","Nott'ham Forest",25,1997,11.5,554,36,176,289,92,12,554,12,6,50,6,50,279,1219,532,5,4,0,10,8,327,7,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
476,"Andrey Santos","/en/players/dd745366/Andrey-Santos","br BRA","MF","Nott'ham Forest",19,2004,0.1,10,1,3,3,4,0,10,1,0,0,1,100,2,15,13,0,0,0,0,0,4,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
477,"Pablo Sarabia","/en/players/9744ff80/Pablo-Sarabia","es ESP","MF,FW","Wolves",31,1992,19.4,1172,13,137,552,495,55,1170,43,17,39.5,22,51.2,687,3304,1501,41,52,9,41,23,822,137,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
478,"Dane Scarlett","/en/players/21945a9e/Dane-Scarlett","eng ENG","FW","Tottenham",19,2004,0.2,11,0,0,5,6,2,11,3,0,0,2,66.7,10,32,2,0,0,1,5,0,11,4,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
479,"Kevin Schade","/en/players/52afb588/Kevin-Schade","de GER","FW,MF","Brentford",21,2001,3.7,148,3,17,59,73,19,148,14,2,14.3,10,71.4,84,631,283,8,3,5,14,6,98,23,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
480,"Fabian Schär","/en/players/c8aa95da/Fabian-Schar","ch SUI","DF","Newcastle Utd",31,1991,33.9,2483,359,1304,1060,140,40,2483,22,13,59.1,8,36.4,1490,7974,4981,28,42,1,17,12,1677,20,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
