"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA Types","PassDead_SCA Types","TO_SCA Types","Sh_SCA Types","Fld_SCA Types","Def_SCA Types","GCA_GCA","GCA90_GCA","PassLive_GCA Types","PassDead_GCA Types","TO_GCA Types","Sh_GCA Types","Fld_GCA Types","Def_GCA Types","Matches","url"
73,"Rhian Brewster","/en/players/30e81a88/Rhian-Brewster","eng ENG","FW,MF","Sheffield Utd",23,2000,3.8,7,1.82,6,0,0,1,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
74,"Armando Broja","/en/players/97220da2/Armando-Broja","al ALB","FW","Chelsea",21,2001,5,8,1.59,5,0,1,0,2,0,1,0.2,0,0,0,0,1,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
75,"Armando Broja","/en/players/97220da2/Armando-Broja","al ALB","FW","Fulham",21,2001,1,1,1.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
76,"Andre Brooks","/en/players/5f346071/Andre-Brooks","eng ENG","MF,DF","Sheffield Utd",19,2003,10.4,9,0.86,6,0,2,1,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
77,"David Brooks","/en/players/dc4cae05/David-Brooks","wls WAL","FW,MF","Bournemouth",26,1997,3.1,20,6.41,16,1,1,1,1,0,3,0.96,2,0,1,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
78,"Jacob Brown","/en/players/ca18c8f1/Jacob-Brown","sct SCO","MF,FW","Luton Town",25,1998,11.3,15,1.33,10,0,1,1,3,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
79,"Josh Brownhill","/en/players/47369df8/Josh-Brownhill","eng ENG","MF","Burnley",27,1995,25,70,2.8,43,19,1,3,3,1,6,0.24,5,1,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
80,"Jacob Bruun Larsen","/en/players/4e204552/Jacob-Bruun-Larsen","dk DEN","MF,FW","Burnley",24,1998,13.9,46,3.31,32,11,1,1,1,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
81,"Hugo Bueno","/en/players/bfc3b3a0/Hugo-Bueno","es ESP","DF,MF","Wolves",20,2002,8.2,17,2.07,14,0,1,1,1,0,2,0.24,2,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
82,"Santiago Bueno","/en/players/edc98fac/Santiago-Bueno","uy URU","DF","Wolves",24,1998,9.1,5,0.55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
83,"Facundo Buonanotte","/en/players/468a7a91/Facundo-Buonanotte","ar ARG","FW,MF","Brighton",18,2004,15.2,38,2.51,26,1,2,3,5,1,2,0.13,2,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
84,"Reece Burke","/en/players/a681b7b7/Reece-Burke","eng ENG","DF","Luton Town",26,1996,18.4,21,1.14,15,1,0,5,0,0,4,0.22,3,0,0,1,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
85,"Dan Burn","/en/players/b2d31e83/Dan-Burn","eng ENG","DF","Newcastle Utd",31,1992,30.3,27,0.89,22,2,1,2,0,0,4,0.13,3,0,0,1,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
86,"Mason Burstow","/en/players/dab84ad2/Mason-Burstow","eng ENG","FW","Chelsea",19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
87,"Moisés Caicedo","/en/players/16264a81/Moises-Caicedo","ec ECU","MF","Chelsea",21,2001,31.8,66,2.07,52,0,3,1,6,4,12,0.38,11,0,0,0,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
88,"Tom Cairney","/en/players/a8748947/Tom-Cairney","sct SCO","MF","Fulham",32,1991,16.5,71,4.3,62,2,2,2,1,2,13,0.79,11,0,1,0,1,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
89,"Dominic Calvert-Lewin","/en/players/59e6e5bf/Dominic-Calvert-Lewin","eng ENG","FW","Everton",26,1997,24.1,54,2.24,37,0,4,7,4,2,6,0.25,3,0,0,3,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
90,"Thomas Cannon","/en/players/4506aec5/Thomas-Cannon","ie IRL","FW","Everton",20,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
91,"Diego Carlos","/en/players/b4a014b1/Diego-Carlos","br BRA","DF","Aston Villa",30,1993,20.2,9,0.45,9,0,0,0,0,0,2,0.1,2,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
92,"Cesare Casadei","/en/players/fb920f3a/Cesare-Casadei","it ITA","FW,MF","Chelsea",20,2003,0.9,4,4.62,2,0,0,0,1,1,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
