"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2025,"Nantes","Ligue 1","opponent",30,34,21062,19434,1586,424,28,113,740,685,212,86,96,0,17979,42,337,"https://fbref.com/en/squads/d7a486cd/2024-2025/Nantes-Stats"
2025,"Napoli","Serie A","team",27,38,20033,18236,1742,487,48,88,681,721,209,137,43,2,16894,55,340,"https://fbref.com/en/squads/d48ad4ff/2024-2025/Napoli-Stats"
2025,"Napoli","Serie A","opponent",27,38,16831,15220,1572,446,26,103,577,593,148,52,65,1,13635,39,255,"https://fbref.com/en/squads/d48ad4ff/2024-2025/Napoli-Stats"
2025,"Newcastle Utd","Premier League","team",24,38,18898,17088,1739,482,78,94,705,704,217,118,27,17,15416,71,351,"https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats"
2025,"Newcastle Utd","Premier League","opponent",24,38,17858,16153,1662,449,71,73,651,595,202,100,51,1,14333,43,344,"https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats"
2025,"Nice","Ligue 1","team",31,34,16103,14573,1474,440,88,62,599,556,170,60,72,0,13129,56,299,"https://fbref.com/en/squads/132ebc33/2024-2025/Nice-Stats"
2025,"Nice","Ligue 1","opponent",31,34,17860,16268,1564,425,38,67,604,605,180,72,64,1,14744,28,333,"https://fbref.com/en/squads/132ebc33/2024-2025/Nice-Stats"
2025,"Nott'ham Forest","Premier League","team",23,38,14366,12658,1617,436,59,62,621,615,159,71,76,0,10822,91,282,"https://fbref.com/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats"
2025,"Nott'ham Forest","Premier League","opponent",23,38,20627,18867,1724,473,45,87,886,653,241,156,48,1,16965,36,328,"https://fbref.com/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats"
2025,"Osasuna","La Liga","team",25,38,16028,14070,1892,487,28,133,819,831,175,64,50,2,12184,66,349,"https://fbref.com/en/squads/03c57e2b/2024-2025/Osasuna-Stats"
2025,"Osasuna","La Liga","opponent",25,38,18864,16877,1884,540,89,123,704,784,189,72,78,1,15229,103,324,"https://fbref.com/en/squads/03c57e2b/2024-2025/Osasuna-Stats"
2025,"Paris S-G","Ligue 1","team",28,34,25781,24296,1431,410,97,175,562,580,216,63,70,1,23156,54,308,"https://fbref.com/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats"
2025,"Paris S-G","Ligue 1","opponent",28,34,12016,10625,1318,343,39,71,386,451,111,55,33,0,9330,73,281,"https://fbref.com/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats"
2025,"Parma","Serie A","team",32,38,15805,14017,1757,568,43,75,427,602,168,55,33,1,12509,31,247,"https://fbref.com/en/squads/eab4234c/2024-2025/Parma-Stats"
