"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"La Liga","M","ESP",2025,"vs Real Sociedad","opponent",31,38,46,432,135,31.3,11.37,3.55,0.09,0.3,18.7,14,5,7,43.9,38.3,0.09,2.1,2.7
"La Liga","M","ESP",2025,"vs Sevilla","opponent",35,38,54,409,142,34.7,10.76,3.74,0.12,0.35,17.8,15,5,6,47.4,42.7,0.11,6.6,6.3
"La Liga","M","ESP",2025,"vs Valencia","opponent",32,38,51,417,140,33.6,10.97,3.68,0.11,0.32,17.7,11,6,9,51.9,44.9,0.11,-0.9,0.1
"La Liga","M","ESP",2025,"vs Valladolid","opponent",38,38,89,592,197,33.3,15.58,5.18,0.14,0.42,17.7,28,7,7,67.6,62.4,0.11,21.4,19.6
"La Liga","M","ESP",2025,"vs Villarreal","opponent",31,38,50,475,153,32.2,12.5,4.03,0.09,0.28,18.5,13,7,8,44.4,38.2,0.08,5.6,4.8
"Ligue 1","M","FRA",2025,"Angers","team",30,34,31,311,91,29.3,9.15,2.68,0.08,0.29,18.3,13,5,6,36,31.3,0.1,-5,-5.3
"Ligue 1","M","FRA",2025,"Auxerre","team",29,34,47,375,144,38.4,11.03,4.24,0.11,0.3,17.5,10,4,5,41,37.3,0.1,6,5.7
"Ligue 1","M","FRA",2025,"Brest","team",30,34,52,409,151,36.9,12.03,4.44,0.11,0.3,17,7,7,9,45.4,38.3,0.1,6.6,6.7
"Ligue 1","M","FRA",2025,"Le Havre","team",31,34,37,339,97,28.6,9.97,2.85,0.08,0.29,17.8,14,9,10,41.4,33.4,0.1,-4.4,-5.4
"Ligue 1","M","FRA",2025,"Lens","team",33,34,40,484,148,30.6,14.24,4.35,0.07,0.24,16.7,7,5,5,51.8,48.3,0.1,-11.8,-13.3
"Ligue 1","M","FRA",2025,"Lille","team",27,34,52,424,154,36.3,12.47,4.53,0.11,0.29,16.6,15,7,10,54.7,47.5,0.12,-2.7,-2.5
"Ligue 1","M","FRA",2025,"Lyon","team",31,34,62,434,173,39.9,12.76,5.09,0.12,0.31,16.2,6,8,10,60.3,52.5,0.12,1.7,1.5
"Ligue 1","M","FRA",2025,"Marseille","team",32,34,70,481,185,38.5,14.15,5.44,0.13,0.34,16.7,15,8,10,63.8,55.8,0.12,6.2,6.2
"Ligue 1","M","FRA",2025,"Monaco","team",28,34,63,493,180,36.5,14.5,5.29,0.12,0.32,15.7,9,6,7,72.8,67.7,0.14,-9.8,-10.7
"Ligue 1","M","FRA",2025,"Montpellier","team",35,34,23,371,111,29.9,10.91,3.26,0.05,0.18,18.7,20,3,4,33.5,30.4,0.09,-10.5,-10.4
"Ligue 1","M","FRA",2025,"Nantes","team",30,34,39,345,119,34.5,10.15,3.5,0.1,0.29,15.9,4,5,5,39.1,35.3,0.11,-0.1,-1.3
"Ligue 1","M","FRA",2025,"Nice","team",31,34,62,486,183,37.7,14.29,5.38,0.12,0.31,16.2,14,6,6,61.6,56.9,0.13,0.4,-0.9
"Ligue 1","M","FRA",2025,"Paris S-G","team",28,34,89,628,272,43.3,18.47,8,0.13,0.31,16.3,13,6,7,88.9,83.3,0.14,0.1,-0.3
"Ligue 1","M","FRA",2025,"Reims","team",34,34,32,393,111,28.2,11.56,3.26,0.08,0.28,17.6,8,1,2,37.4,35.9,0.09,-5.4,-4.9
"Ligue 1","M","FRA",2025,"Rennes","team",35,34,51,423,155,36.6,12.44,4.56,0.11,0.3,17.3,8,5,8,48.6,42.7,0.1,2.4,3.3
"Ligue 1","M","FRA",2025,"Saint-Étienne","team",32,34,39,366,115,31.4,10.76,3.38,0.1,0.31,18.1,8,3,4,36.4,33.2,0.1,2.6,2.8
"Ligue 1","M","FRA",2025,"Strasbourg","team",30,34,54,354,140,39.5,10.41,4.12,0.15,0.37,16,10,2,2,49.3,47.7,0.14,4.7,4.3
"Ligue 1","M","FRA",2025,"Toulouse","team",27,34,42,399,145,36.3,11.74,4.26,0.1,0.27,15.4,7,3,4,49.1,46,0.12,-7.1,-7
