"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
2025,"Liverpool","Premier League","team",24,38,642,391,271,267,104,340,656,51.8,316,367,97,270,299,941,724,31,"https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats"
2025,"Liverpool","Premier League","opponent",24,38,660,402,358,228,74,310,611,50.7,301,462,183,279,320,980,1094,42,"https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats"
2025,"Lyon","Ligue 1","team",31,34,576,340,257,230,89,310,595,52.1,285,346,113,233,282,858,695,25,"https://fbref.com/en/squads/d53c0b06/2024-2025/Lyon-Stats"
2025,"Lyon","Ligue 1","opponent",31,34,558,345,303,181,74,277,515,53.8,238,429,115,314,319,877,864,10,"https://fbref.com/en/squads/d53c0b06/2024-2025/Lyon-Stats"
2025,"Mainz 05","Bundesliga","team",25,34,564,325,234,247,83,236,448,52.7,212,419,128,291,352,916,947,22,"https://fbref.com/en/squads/a224b06a/2024-2025/Mainz-05-Stats"
2025,"Mainz 05","Bundesliga","opponent",25,34,547,349,263,212,72,252,466,54.1,214,435,119,316,303,850,1046,23,"https://fbref.com/en/squads/a224b06a/2024-2025/Mainz-05-Stats"
2025,"Mallorca","La Liga","team",28,38,584,361,305,211,68,257,500,51.4,243,389,153,236,326,910,1161,17,"https://fbref.com/en/squads/2aa12281/2024-2025/Mallorca-Stats"
2025,"Mallorca","La Liga","opponent",28,38,637,402,269,287,81,260,515,50.5,255,338,87,251,272,909,947,16,"https://fbref.com/en/squads/2aa12281/2024-2025/Mallorca-Stats"
2025,"Manchester City","Premier League","team",30,38,497,299,183,216,98,214,449,47.7,235,331,89,242,229,726,619,35,"https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"
2025,"Manchester City","Premier League","opponent",30,38,696,399,418,214,64,301,678,44.4,377,462,172,290,310,1006,956,33,"https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"
2025,"Manchester Utd","Premier League","team",31,38,817,493,394,305,118,400,723,55.3,323,386,107,279,358,1175,759,26,"https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats"
2025,"Manchester Utd","Premier League","opponent",31,38,676,414,315,257,104,323,575,56.2,252,475,164,311,325,1001,858,20,"https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats"
2025,"Marseille","Ligue 1","team",32,34,552,358,244,229,79,274,472,58.1,198,272,70,202,280,832,523,31,"https://fbref.com/en/squads/5725cc7b/2024-2025/Marseille-Stats"
2025,"Marseille","Ligue 1","opponent",32,34,613,372,270,245,98,300,578,51.9,278,404,128,276,335,948,784,27,"https://fbref.com/en/squads/5725cc7b/2024-2025/Marseille-Stats"
2025,"Milan","Serie A","team",35,38,552,349,249,222,81,246,480,51.3,234,292,95,197,234,786,691,21,"https://fbref.com/en/squads/dc56fe14/2024-2025/Milan-Stats"
2025,"Milan","Serie A","opponent",35,38,597,339,309,224,64,309,652,47.4,343,364,160,204,291,888,803,23,"https://fbref.com/en/squads/dc56fe14/2024-2025/Milan-Stats"
2025,"Monaco","Ligue 1","team",28,34,670,429,281,287,102,339,624,54.3,285,350,70,280,357,1027,667,18,"https://fbref.com/en/squads/fd6114db/2024-2025/Monaco-Stats"
2025,"Monaco","Ligue 1","opponent",28,34,641,389,306,257,78,300,566,53,266,391,130,261,368,1009,892,30,"https://fbref.com/en/squads/fd6114db/2024-2025/Monaco-Stats"
2025,"Montpellier","Ligue 1","team",35,34,631,389,302,264,65,310,608,51,298,368,123,245,273,904,733,25,"https://fbref.com/en/squads/281b0e73/2024-2025/Montpellier-Stats"
2025,"Montpellier","Ligue 1","opponent",35,34,598,366,263,230,105,302,564,53.5,262,326,103,223,280,878,858,21,"https://fbref.com/en/squads/281b0e73/2024-2025/Montpellier-Stats"
2025,"Monza","Serie A","team",36,38,562,315,304,202,56,272,501,54.3,229,382,157,225,305,867,874,38,"https://fbref.com/en/squads/21680aa4/2024-2025/Monza-Stats"
2025,"Monza","Serie A","opponent",36,38,561,336,206,257,98,227,447,50.8,220,312,77,235,225,786,768,11,"https://fbref.com/en/squads/21680aa4/2024-2025/Monza-Stats"
2025,"Nantes","Ligue 1","team",30,34,645,376,338,224,83,321,565,56.8,244,402,116,286,283,928,1007,10,"https://fbref.com/en/squads/d7a486cd/2024-2025/Nantes-Stats"
2025,"Nantes","Ligue 1","opponent",30,34,564,350,299,191,74,278,505,55,227,316,92,224,221,785,857,18,"https://fbref.com/en/squads/d7a486cd/2024-2025/Nantes-Stats"
2025,"Napoli","Serie A","team",27,38,535,323,237,238,60,258,469,55,211,317,100,217,270,805,813,11,"https://fbref.com/en/squads/d48ad4ff/2024-2025/Napoli-Stats"
2025,"Napoli","Serie A","opponent",27,38,612,366,300,238,74,286,530,54,244,446,160,286,330,942,845,26,"https://fbref.com/en/squads/d48ad4ff/2024-2025/Napoli-Stats"
