"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2025,"Real Madrid","La Liga","team",3,38,38,3420,38,38,1,126,89,72.2,26,6,6,15,39.5,3,3,0,0,0,"https://fbref.com/en/squads/53a2f082/2024-2025/Real-Madrid-Stats"
2025,"Real Madrid","La Liga","opponent",3,38,38,3420,38,78,2.05,242,161,71.9,6,6,26,2,5.3,14,10,3,1,23.1,"https://fbref.com/en/squads/53a2f082/2024-2025/Real-Madrid-Stats"
2025,"Real Sociedad","La Liga","team",2,38,38,3420,38,46,1.21,142,94,71.1,13,7,18,13,34.2,7,5,2,0,28.6,"https://fbref.com/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats"
2025,"Real Sociedad","La Liga","opponent",2,38,38,3420,38,35,0.92,126,92,75.4,18,7,13,19,50,4,4,0,0,0,"https://fbref.com/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats"
2025,"Reims","Ligue 1","team",1,34,34,3060,34,47,1.38,179,131,76,8,9,17,7,20.6,5,4,1,0,20,"https://fbref.com/en/squads/7fdd64e0/2024-2025/Reims-Stats"
2025,"Reims","Ligue 1","opponent",1,34,34,3060,34,33,0.97,112,80,71.4,17,9,8,15,44.1,2,1,0,1,0,"https://fbref.com/en/squads/7fdd64e0/2024-2025/Reims-Stats"
2025,"Rennes","Ligue 1","team",3,34,34,3060,34,50,1.47,138,87,65.9,13,2,19,11,32.4,6,3,3,0,50,"https://fbref.com/en/squads/b3072e00/2024-2025/Rennes-Stats"
2025,"Rennes","Ligue 1","opponent",3,34,34,3060,34,51,1.5,162,109,71.6,19,2,13,7,20.6,8,5,2,1,28.6,"https://fbref.com/en/squads/b3072e00/2024-2025/Rennes-Stats"
2025,"Roma","Serie A","team",1,38,38,3420,38,35,0.92,151,117,79.5,20,9,9,16,42.1,4,4,0,0,0,"https://fbref.com/en/squads/cf74a709/2024-2025/Roma-Stats"
2025,"Roma","Serie A","opponent",1,38,38,3420,38,56,1.47,170,115,71.8,9,9,20,6,15.8,8,8,0,0,0,"https://fbref.com/en/squads/cf74a709/2024-2025/Roma-Stats"
2025,"Saint-Étienne","Ligue 1","team",1,34,34,3060,34,77,2.26,209,132,69.4,8,6,20,5,14.7,15,13,2,0,13.3,"https://fbref.com/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats"
2025,"Saint-Étienne","Ligue 1","opponent",1,34,34,3060,34,39,1.15,119,79,69.7,20,6,8,10,29.4,4,3,1,0,25,"https://fbref.com/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats"
